Job_Title,City,Salary
Business Development Manager,AI (Denver),80000
Software Engineer,AI (Denver),101000
Program Manager,AI (Denver),65000
Technical Editor,AI (Denver),63000
Human Resources Manager,AI (Denver),93500
Operations Manager,AI (Denver),75000
